Algo,TFIDF,Stemming,Punc,Stopword,Time,Accuracy
SVM,1,Nothing,Space,>2,24.14831402,89.9275
SVM,1,Nothing,Nothing,>2,25.03796723,89.765
SVM,1,Nothing,Space,>3,21.32309215,89.725
LogisticRegression,0,Nothing,Space,>2,1.6659846,89.635
SVM,1,Lemmatizer,Nothing,>2,25.97794729,89.5175
ComplementNB,0,Nothing,Nothing,>2,1.21211144,89.49
SVM,1,Porter,Nothing,>2,28.87494823,89.485
SVM,1,Porter,Space,>2,28.41516982,89.4675
SVM,1,Snowball,Space,>2,26.3414701,89.46
LogisticRegression,0,Lemmatizer,Space,>2,2.80672066,89.4375
SVM,1,Lemmatizer,Space,>2,25.37250109,89.4175
SVM,1,Lemmatizer,Nothing,>3,23.53382503,89.4025
LogisticRegression,1,Nothing,Nothing,>2,1.55169741,89.37
LogisticRegression,0,Snowball,Space,>2,5.20689578,89.3375
LogisticRegression,0,Snowball,Nothing,>2,5.27203788,89.3175
LogisticRegression,0,Nothing,Nothing,>2,1.72713092,89.31
MultinomialNB,0,Nothing,Space,>3,2.0893368,89.3075
MultinomialNB,0,Nothing,Nothing,>2,2.6490867,89.2975
MultinomialNB,0,Lemmatizer,Nothing,>2,2.49146085,89.2925
SVM,1,Snowball,Nothing,>2,27.44285542,89.2875
LogisticRegression,0,Porter,Nothing,>2,7.05570209,89.26
LogisticRegression,1,Snowball,Nothing,>2,5.2091368,89.26
MultinomialNB,0,Nothing,Space,>2,2.75054742,89.26
ComplementNB,0,Nothing,Nothing,>3,1.18441906,89.2575
SVM,1,Nothing,Nothing,>3,22.19348565,89.255
LogisticRegression,1,Porter,Space,>2,6.87320986,89.25
ComplementNB,0,Nothing,Space,>2,1.2598262,89.2475
LogisticRegression,1,Snowball,Space,>2,5.16167812,89.2225
LogisticRegression,0,Porter,Space,>2,6.96353234,89.2175
LogisticRegression,0,Nothing,Nothing,>3,1.60058585,89.195
ComplementNB,0,Lemmatizer,Nothing,>3,2.23099782,89.17
LogisticRegression,1,Porter,Nothing,>2,7.06720647,89.0925
LogisticRegression,1,Nothing,Space,>2,1.54739047,89.0875
MultinomialNB,0,Lemmatizer,Space,>2,2.40707439,89.0775
LogisticRegression,0,Porter,Space,>3,6.30102185,89.065
LogisticRegression,0,Lemmatizer,Nothing,>2,2.84485373,89.0575
ComplementNB,0,Snowball,Nothing,>2,4.89154872,89.045
ComplementNB,0,Lemmatizer,Nothing,>2,2.3910418,89.025
SVM,1,Snowball,Space,>3,23.61194375,89.02
LogisticRegression,1,Lemmatizer,Space,>2,2.75344711,89.0125
SVM,1,Snowball,Nothing,>3,24.67062024,88.985
LogisticRegression,1,Lemmatizer,Nothing,>2,2.72661744,88.9825
SVM,1,Porter,Nothing,>3,26.10070862,88.9625
MultinomialNB,0,Nothing,Nothing,>3,3.52016001,88.9375
SVM,1,Porter,Space,>3,25.24607255,88.935
LogisticRegression,0,Nothing,Space,>3,1.60848806,88.935
ComplementNB,0,Nothing,Space,>3,1.24380373,88.915
LogisticRegression,0,Lemmatizer,Nothing,>3,2.64847475,88.91
SVM,1,Lemmatizer,Space,>3,22.71155905,88.8825
LogisticRegression,1,Porter,Nothing,>3,6.24882547,88.87
MultinomialNB,0,Porter,Nothing,>2,6.79639648,88.8675
LogisticRegression,0,Snowball,Nothing,>3,4.78197135,88.8325
ComplementNB,0,Porter,Nothing,>2,6.62375362,88.8225
ComplementNB,0,Porter,Nothing,>3,5.89328641,88.785
LogisticRegression,1,Nothing,Space,>3,1.50689469,88.78
MultinomialNB,0,Porter,Space,>2,6.90350263,88.765
LogisticRegression,0,Snowball,Space,>3,4.7402356,88.7325
MultinomialNB,0,Snowball,Nothing,>2,7.30196812,88.73
LogisticRegression,1,Nothing,Nothing,>3,1.5303034,88.725
LogisticRegression,1,Lemmatizer,Space,>3,2.53704589,88.6825
LogisticRegression,0,Porter,Nothing,>3,6.34187403,88.6425
ComplementNB,0,Lemmatizer,Space,>2,2.42222277,88.6325
LogisticRegression,1,Snowball,Nothing,>3,4.64010164,88.6225
